"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","antimicrobial humoral immune response mediated by antimicrobial peptide","GO:0061844","false","0.000050325135983374","4.298215042932121","111","844","17","21026","H2BC12,H2BC6,GAPDH,S100A9,ELANE,S100A12,DEFA3,H2BC12L,NOD2,CAMP,PPBP,DEFA4,PGLYRP1,PF4,PF4V1,LTF,PGLYRP4"
"GO:BP","leukocyte cell-cell adhesion","GO:0007159","false","0.00005214613902782488","4.282777841810512","415","844","38","21026","SMARCD3,DUSP3,LOXL3,CD274,PDCD1LG2,ICAM1,CD300A,SELL,IRF1,S100A9,VNN1,BCL6,ELANE,CD55,IGFBP2,ARG1,CR1,NOD2,VSIG4,IL1B,FLOT2,ALOX5,SELP,LRG1,ST3GAL4,AIF1,CD177,FUT7,GLI3,SPTA1,HLA-G,CTSG,CD209,TARM1,S100A8,ASS1,OLR1,IL10"
"GO:BP","carboxylic acid biosynthetic process","GO:0046394","false","0.00005214613902782488","4.282777841810512","320","844","32","21026","CASP1,LTA4H,ERLIN1,KYNU,NLRC4,NAIP,ELOVL3,ALOX5AP,ALDH1A2,CEACAM1,SDSL,PLA2G4A,GGT1,IL1B,ALOX5,BCAT1,DHRS9,OLAH,MLXIPL,PLOD2,CYP27A1,ASS1,CBS,GGTLC2,ABCB11,ACOX2,SLC1A3,PLA2G2C,CES1,ALOX15B,PRKAG3,PAH"
"GO:BP","cell activation involved in immune response","GO:0002263","false","0.00005214613902782488","4.282777841810512","320","844","32","21026","LOXL3,MILR1,IL27,FCER1G,ICAM1,CD300A,ITGAM,IL18R1,GRN,CLEC4E,TYROBP,BCL6,NMI,SEMA4A,CEACAM1,IFI35,SOCS3,CR1,DYSF,SLC11A1,FES,SBNO2,ADGRE2,ANXA3,PGLYRP1,CD177,CLEC4D,CHGA,IL10,TREM2,SUCNR1,TMEM98"
"GO:BP","regulation of adaptive immune response","GO:0002819","false","0.00005489836022412909","4.260440627430561","217","844","25","21026","LOXL3,FCGR1A,IL27,CD274,SECTM1,IL18R1,IRF1,BCL6,FZD5,SAMSN1,CD55,CEACAM1,IL1R1,ARG1,PLA2G4A,CR1,NOD2,SLC11A1,IL1B,CLEC6A,FUT7,HLA-G,CR1L,IL10,TREM2"
"GO:BP","organic acid biosynthetic process","GO:0016053","false","0.00006302275072922639","4.200502645267808","323","844","32","21026","CASP1,LTA4H,ERLIN1,KYNU,NLRC4,NAIP,ELOVL3,ALOX5AP,ALDH1A2,CEACAM1,SDSL,PLA2G4A,GGT1,IL1B,ALOX5,BCAT1,DHRS9,OLAH,MLXIPL,PLOD2,CYP27A1,ASS1,CBS,GGTLC2,ABCB11,ACOX2,SLC1A3,PLA2G2C,CES1,ALOX15B,PRKAG3,PAH"
"GO:BP","interleukin-18 production","GO:0032621","false","0.00007342419918011483","4.134160781523634","12","844","6","21026","CASP1,TLR2,GBP5,TLR9,NOD2,IL10"
"GO:BP","regulation of interleukin-18 production","GO:0032661","false","0.00007342419918011483","4.134160781523634","12","844","6","21026","CASP1,TLR2,GBP5,TLR9,NOD2,IL10"
"GO:BP","positive regulation of interleukin-1 beta production","GO:0032731","false","0.00009008200242768777","4.045361968478192","60","844","12","21026","AIM2,CASP1,TLR8,NLRC4,GBP5,TYROBP,CD36,FZD5,NAIP,LILRA5,NOD2,AZU1"
"GO:BP","positive regulation of tumor necrosis factor production","GO:0032760","false","0.00009008200242768777","4.045361968478192","104","844","16","21026","TLR2,FCGR2A,CLU,LRRK2,CD14,TYROBP,CD36,FZD5,TLR9,LILRA5,NOD2,AZU1,THBS1,LY96,PF4,MMP8"
